x,y,Class
continuous,continuous,discrete
,,class
0.4747912962792037,0.3551853459880505,C1
0.5573119492157557,0.3506198967809618,C1
0.5576367923387919,0.3761380617717579,C1
0.5208521015383198,0.4553408612170679,C1
0.5454060017130656,0.6265950539791199,C1
0.5702147675321784,0.5586375231276635,C1
0.6603409463462888,0.6091387763419066,C1
0.6949103076406858,0.6870600149996836,C1
0.6626364517600313,0.5749881006906387,C1
0.7362852784983638,0.5288971265603692,C1
0.7275396506308722,0.4558611153278835,C1
0.7570501902827329,0.4820646382867231,C1
0.7872837557684395,0.4825199084437366,C1
0.7002294410164543,0.4522842284073333,C1
0.6047690498608164,0.35667052914077424,C1
0.5655112522667114,0.37041368003163677,C1
0.4619732385189836,0.35612868410938764,C1
0.5008818878192005,0.4482858977555779,C1
0.4258328784295974,0.5121150648518028,C1
0.35998946955128197,0.49800426666229647,C1
0.567927385528971,0.5798034390640419,C1
0.5753535796270773,0.6244246151469249,C1
0.5160440225730181,0.5778513481258343,C1
0.5972999066995154,0.5359259519527945,C1
0.6204801710800942,0.5123375460993408,C1
0.723851484308314,0.4605504363394073,C1
0.6649015620158725,0.4313552923025084,C1
0.5967366246416557,0.42446566498867444,C1
0.6040876225967495,0.48467271040124227,C1
0.5826352323364545,0.34238117681388003,C1
0.49625516213601956,0.38246855031829224,C1
0.5849129046506396,0.31870897258980313,C1
0.5201629419291569,0.40512577918849974,C1
0.4989984010343738,0.4315085355995819,C1
0.512000152526783,0.4397523516406562,C1
0.4382875930885466,0.5435312465200165,C1
0.4368263269030017,0.6421090745947022,C1
0.5226659694727757,0.7015754190385253,C1
0.5793072712307338,0.7247946748959555,C1
0.6704584315368906,0.7116387678108406,C1
0.6792404623693964,0.5957481204623762,C1
0.7109328715925258,0.531690481495654,C1
0.6520462186912526,0.5581015612579543,C1
0.6924440106197685,0.4657019525438091,C1
0.6164600387648638,0.4395496568855323,C1
0.49353022605101915,0.43948329475841386,C1
0.41900457983133904,0.38380462542920235,C1
0.38092219104053265,0.43727804964914707,C1
0.3181447461174422,0.4995619297487225,C1
0.36690208156116644,0.5132127620549354,C1
0.4313577247261128,0.607908246959712,C1
0.45886075033853957,0.6675383883431587,C1
0.5224565128384949,0.6105938677731519,C1
0.6101367335289591,0.6523980722721147,C1
0.6026552050716453,0.6132051223181413,C1
0.6572093907333565,0.5170118171510658,C1
0.7039779258073015,0.5125669027650954,C1
0.6797449822299099,0.48371063274852055,C1
0.6636413190839315,0.4244000601413111,C1
0.5045583256549183,0.4377049980124596,C1
0.4866735825952003,0.5022165251352757,C1
0.5065349343952329,0.5817229486440927,C1
0.5112412520269246,0.6423912726177907,C1
0.5457342877609359,0.5987807154423835,C1
0.6115930700087875,0.581513998263539,C1
0.7529417911862489,0.5464555208183888,C1
0.7228402420039028,0.4243169835530738,C1
0.6019382197032881,0.4309613970972095,C1
0.5444471740415274,0.4098121924161611,C1
0.4076527026138478,0.48516460122612376,C1
0.36276839347706136,0.5531806775080917,C1
0.43928946165434446,0.6695615163952966,C1
0.5108811706068178,0.7004298419230895,C1
0.6570156387574668,0.7474789229645545,C1
0.6530930332762271,0.692269616135597,C1
0.6738769462110308,0.5768721280332862,C1
0.6736779133277142,0.6480235366326217,C1
0.7116763954815862,0.6438971599603379,C1
0.6272527652424827,0.5654266537348865,C1
0.5980641153808133,0.5454219199857787,C1
0.5731366011010867,0.5147186216408283,C1
0.5605388060683425,0.4765482054794568,C1
0.47682585171120917,0.6208294946537134,C1
0.46121450354154636,0.5829022294883031,C1
0.6207850839748869,0.7015566522029355,C1
0.6994442147923491,0.5967038598297426,C1
0.640591733692415,0.5027877263648741,C1
0.710737918698457,0.5614839895288303,C1
0.6652481543454992,0.4514104654915362,C1
0.5400538420050175,0.37925582578885064,C1
0.4554448648479033,0.7671381194260408,C2
0.4689593470280262,0.7103610093386816,C2
0.43027776133340356,0.7349918747989495,C2
0.44634361325544886,0.745034815428572,C2
0.3721063947740178,0.7605506507923894,C2
0.32890235511953475,0.6908732633396222,C2
0.40377102799156095,0.7031754878817038,C2
0.28590061691472324,0.6870090956865358,C2
0.27650059210118877,0.6829955508760548,C2
0.22738686957022988,0.6763848526258617,C2
0.22253807599889297,0.6673441429525526,C2
0.27039719286612285,0.6163421250358699,C2
0.2602300124190036,0.6037425160146879,C2
0.27382974903454277,0.4898407898299416,C2
0.289996081171288,0.4293502988302137,C2
0.37669906312376744,0.4570446713367031,C2
0.36558714904864814,0.3318713821972248,C2
0.3751760462151785,0.4038001079719288,C2
0.25482082363749237,0.34009277340360433,C2
0.35945810034978803,0.42353081140042925,C2
0.27835460292409686,0.3744111155025785,C2
0.3313957338654639,0.4024901033841642,C2
0.44055466986788605,0.3070945276702036,C2
0.47132845907460996,0.4169892697356783,C2
0.47495539674763215,0.258578461530305,C2
0.4748208870711026,0.38964993996372277,C2
0.47132792930619033,0.3379853333558507,C2
0.48583005696546133,0.3220722316805993,C2
0.526525397953504,0.299513597814859,C2
0.4509695788808498,0.3769866957819388,C2
0.5469430391647879,0.28264077030725093,C2
0.5352966953896519,0.2647061260625025,C2
0.5720274180084881,0.3116436831867418,C2
0.5951505065713933,0.3212485620143126,C2
0.6230840829618337,0.3192956536447654,C2
0.627148686684249,0.2039116323022127,C2
0.5733240710401285,0.31350302794733254,C2
0.6726909847430619,0.31066239603626017,C2
0.6629756002904238,0.3618515183047066,C2
0.6908274673432772,0.322315275277402,C2
0.7523706443288266,0.4000416845946804,C2
0.7440279374184754,0.3645677128527785,C2
0.7460497934258743,0.40286937628831876,C2
0.739455349502711,0.37044262620431784,C2
0.7433332825330126,0.3435218282701991,C2
0.7060217304798109,0.4138299639019589,C2
0.7499520712905042,0.38187726196227945,C2
0.7105956905581273,0.37286602706961547,C2
0.7232771680468791,0.3589826357678648,C2
0.695040344369875,0.3339966717507161,C2
0.823681099038383,0.5059399055463354,C2
0.9129481907734956,0.6167743277539435,C2
0.8797812202556421,0.6785504735911652,C2
0.7757712176429984,0.6514792298598779,C2
0.9047465184756908,0.6255280476290502,C2
